which,event_months,excess,lo,hi
month-precise sources,24,-0.09072347694153848,-0.2693399427858262,0.1315574010403786
month-precise sources,36,-0.16925508143670276,-0.3144678800301616,0.006717409169833655
month-precise sources,48,-0.03866516098824746,-0.18358470015484885,0.13197863008328947
month-precise sources,60,0.19987741241709034,0.03958870451521479,0.38488019211415114
whole-year sources,24,3.851732707165377,1.1369714371728525,10.015266677087673
whole-year sources,36,7.164047522048506,3.323658861689622,14.415571411713987
whole-year sources,48,3.4271473782957917,1.3953924281456294,7.18222253642347
whole-year sources,60,0.7742180532084746,0.22405131703938408,1.5716648121784482
"month-precise, no calendar control",24,-0.05987881658625982,-0.23876983879545555,0.16105205041365211
"month-precise, no calendar control",36,-0.1508993511788862,-0.2949825275937088,0.02262984967974102
"month-precise, no calendar control",48,-0.014111367363303984,-0.15554358596238327,0.15100836443994026
"month-precise, no calendar control",60,0.2132414207081783,0.056748223208124005,0.3929096000307173
