tier,fields,frac,captured,auc,within_age
"+ where it is, and how it just did",10,0.55,0.7847973823307325,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.6,0.8159577145733703,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.65,0.8455575132141958,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.7,0.87102944877926,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.75,0.8944877926000503,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.8,0.9191039516737981,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.85,0.9406997231311351,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.9,0.9633022904606091,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,0.95,0.9824314120312106,0.7115006735060116,0.6478824768301488
"+ where it is, and how it just did",10,1.0,1.0,0.7115006735060116,0.6478824768301488
"+ last year's test (a service history, arriving late)",15,0.0,0.0,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.05,0.20427888245658193,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.1,0.3336521520261767,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.15,0.4284419833878681,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.2,0.5000251698968035,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.25,0.5586710294487792,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.3,0.6101686383085829,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.35,0.6550717342058897,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.4,0.6941857538384093,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.45,0.7318902592499371,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.5,0.7644097659199597,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.55,0.7952680594009565,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.6,0.82617669267556,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.65,0.8519003272086585,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.7,0.8789327963755349,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.75,0.9025421595771458,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.8,0.9239365718600554,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.85,0.9465391391895294,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.9,0.9665240372514473,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,0.95,0.9843443241882708,0.7234778647963578,0.6670214384069586
"+ last year's test (a service history, arriving late)",15,1.0,1.0,0.7234778647963578,0.6670214384069586
