frac,Class transformation,Two-model (T-learner),Response model (the usual way),Random
3.114973678472417e-05,0.0,0.0,0.0,0.0
0.006261097093729558,14.0,7.339285714285715,6.338461538461537,11.15625
0.012491044450674392,26.16788321167883,8.49107142857143,8.904411764705884,14.603305785123972
0.018720991807619224,39.34418604651163,24.799999999999997,15.696078431372555,23.22222222222222
0.02495093916456406,52.65703971119133,37.82071713147411,35.30798479087453,35.72653061224489
0.031180886521508893,65.59375,58.53191489361703,55.30383480825958,43.869009584664525
0.037410833878453724,83.84,78.83500000000001,60.18886198547216,46.87564766839378
0.04364078123539856,103.25625,92.51059322033899,74.0389344262295,49.53478260869565
0.04987072859234339,105.12996389891697,90.76066790352505,102.37076648841355,53.84291187739464
0.05610067594928823,109.33386837881221,102.33943427620633,108.53733766233768,68.59412780656305
0.06233062330623306,125.68041237113403,117.87444608567208,106.23959827833573,84.82581648522549
0.0685605706631779,139.212,127.04166666666669,118.16998671978752,98.85895627644572
0.07479051802012272,138.46153846153845,135.01939393939392,137.60454002389486,106.91786179921772
0.08102046537706756,144.8660612939841,145.776404494382,147.51591657519208,122.85714285714283
0.08725041273401239,160.6483050847458,148.09253417455312,160.8534836065574,127.64062499999997
0.09348036009095723,167.97729516288257,170.8707482993197,178.99232245681384,139.98252826310383
0.09971030744790206,182.46507352941177,187.89071038251365,185.85933273219115,148.8848715509039
0.1059402548048469,196.207136640557,190.47512864493996,198.4025641025641,160.9973166368515
0.11217020216179173,207.48936170212767,201.01537216828478,208.47801302931595,163.53116994022207
0.11840014951873656,205.79251170046803,213.33718244803697,217.20076923076925,181.46983105390183
0.1246300968756814,213.82999257609504,222.7361918604651,223.26999266324282,175.22971948445792
0.13086004423262623,236.9329096045198,228.4639389736477,218.8846694796062,180.83783783783787
0.13708999158957108,256.50068119891006,235.3937789543349,223.31480241125257,171.98547717842325
0.1433199389465159,272.0929032258064,245.9504761904762,246.99617102744094,171.37516512549536
0.14954988630346075,292.63011152416357,250.8582773365913,248.47804878048782,189.56395715185886
0.15577983366040557,299.05371900826447,255.7087719298246,261.5300993571011,198.40545454545457
0.1620097810173504,306.1777399204997,263.87633501967395,285.3418512208972,213.58357600465928
0.16823972837429524,317.01360174102285,277.51349892008636,297.27332601536773,223.76490438695168
0.17446967573124006,323.1295228106975,280.4818464730291,299.4505552617662,244.42105263157896
0.1806996230881849,334.224593495935,281.65599999999995,306.0010261672653,248.64374999999995
0.18692957044512973,345.0083292503675,291.1387675885492,314.0664682539683,264.7725213890287
0.19315951780207458,358.67691579943244,295.24084507042255,323.7270554493308,273.0450581395349
0.1993894651590194,361.8851630684428,306.36401098901104,332.34953703703707,286.2105263157895
0.20561941251596424,352.78612716763007,319.2751558325913,331.13127240143365,289.5725329695316
0.21184935987290907,357.49480519480517,332.73901808785536,338.742819843342,301.71674768007074
0.2180793072298539,362.6627467450651,347.6935687263556,353.7534942820838,314.8339055793992
0.22430925458679873,366.37876322213185,354.046875,361.3160943318163,321.85226799833544
0.23053920194374358,370.73758865248226,362.1247508967716,369.0398390342052,327.8679321486269
0.2367691493006884,380.9278310940499,364.381917381138,386.6347281971059,341.3116883116883
0.24299909665763325,386.8661150808575,366.73482549317146,397.1219047619047,341.47255278310945
0.24922904401457807,399.152579582876,379.01036653091444,408.263353115727,347.57747005988017
0.2554589913715229,403.650731359258,392.9354954954955,406.8762626262626,352.36742147552957
0.26168893872846777,421.2680628272252,394.35262972114367,414.79655051038367,354.12326327039546
0.2679188860854126,430.58693433140525,407.86602542081755,430.7020618556701,365.07804370447457
0.2741488334423574,448.9966777408638,396.67203759650886,431.0900840336135,377.27364864864865
0.28037878079930223,455.4454575056984,411.87208920957687,440.04256712508186,383.4662698412699
0.2866087281562471,471.4162162162162,431.2770465489567,455.66251198465966,393.44462382951235
0.2928386755131919,490.79481574016245,431.97202137692545,451.54366197183094,392.6349557522125
0.29906862287013675,503.87450260177525,448.4636027143738,462.4289215686275,396.59770471464014
0.30529857022708157,518.2225864123957,453.3820598006645,475.3663366336634,404.6803278688524
0.3115285175840264,523.7200467562828,477.7794902193243,476.3709155136885,409.8195600475624
0.31775846494097126,534.7297219833764,480.74479166666663,477.8982415681753,412.9941605839416
0.3239884122979161,549.4535734383793,491.8881634970196,479.1971671388103,422.3035408338093
0.3302183596548609,558.342250413679,499.74156676888765,488.6639844617091,418.1691402968356
0.3364483070118057,570.3701597617113,518.7087193460491,515.369777536625,434.18679504814304
0.3426782543687506,575.2973621103117,516.1167512690355,517.8534574468085,433.72945945945946
0.3489082017256954,576.3886554621847,522.8922550052687,529.9703955986377,432.65825139516346
0.35513814908264024,587.097189997422,521.9449754585378,536.8971649484536,436.43499869212656
0.36136809643958506,585.6570993141986,521.575363427697,544.9090448441855,436.21265106711246
0.36759804379652994,584.5138646015489,534.0065130260522,566.1512730903644,452.8938858009095
0.37382799115347476,603.0090931432785,542.7292954264524,580.9202845229336,459.24925595238096
0.3800579385104196,595.9410912602607,560.6081771720613,606.4570397111913,459.10769230769233
0.3862878858673644,596.0562811683685,579.3891413537431,614.8456994328924,474.4700936824405
0.3925178332243093,601.2768942937325,585.9012025465693,621.2528521536669,485.21746332229066
0.3987477805812541,608.8438721545183,588.8300486900068,626.2451361867704,490.65836050302755
0.4049777279381989,606.2377717391305,600.9301848049281,630.3608037931813,492.7797891842346
0.41120767529514374,617.63530726257,603.7657232704403,640.6364849833149,496.1246317697711
0.4174376226520886,630.1418205804748,617.7617471872932,656.6992332968236,493.32050995303064
0.42366757000903343,646.841431670282,625.2967798085292,662.6051437216338,505.76543209876536
0.42989751736597825,661.1259085079093,630.6713151684187,667.632117722329,522.1898349261512
0.4361274647229231,662.7445054945056,630.898093220339,666.4201892744479,536.592513368984
0.44235741207986795,668.5187188019968,633.2804597701149,675.2191069574249,535.0563291139241
0.44858735943681277,672.601846153846,644.4152034703575,683.3575373286972,548.4454375389732
0.4548173067937576,686.1022015754393,652.8307440719541,693.1494554255748,553.9683778234087
0.4610472541507024,681.5873332005576,662.5986284792255,699.2575757575758,565.7851206162579
0.46727720150764723,686.164143896206,671.2854013144793,706.3240212472949,564.9873772791022
0.4735071488645921,701.6970696681544,681.994299194024,694.6910994764398,573.4754746835442
0.47973709622153693,700.1006518404909,689.3781316760535,704.1220774243004,571.816374269006
