Model,AUC,within_age,lift10,lift20
Age curve alone,0.6638568712225946,0.5,2.485319219347193,2.103988591707837
The two-layer engine (age x mileage),0.6935246299999226,0.6177323013352952,2.8578402285262334,2.274643486453371
"Neural net, every field",0.7033747707017128,0.6349683095252521,3.104006138645897,2.3536783492116267
"Learned, every field",0.7234778647963578,0.6670214384069586,3.3365800659982163,2.5001697190374386
