age,decile,n,median_km,ratio,rate,event
3,1,21059,12456.322265625,0.3200066089630127,0.06700223182487297,fleet_exit
3,2,21058,20474.07421875,0.5259850025177002,0.06714787729129072,fleet_exit
3,3,21060,26203.33984375,0.6731715798377991,0.07018043684710351,fleet_exit
3,4,21065,31311.396484375,0.8043990731239319,0.07239496795632566,fleet_exit
3,5,21059,36335.76953125,0.9334766864776611,0.07607198822356237,fleet_exit
3,6,21061,41648.21484375,1.0699549913406372,0.07791652818004843,fleet_exit
3,7,21059,47820.046875,1.2285112142562866,0.07953843962201435,fleet_exit
3,8,21060,55924.703125,1.4367221593856812,0.08646723646723646,fleet_exit
3,9,21065,68012.484375,1.7472609281539917,0.1005459292665559,fleet_exit
3,10,21061,96633.0625,2.482532024383545,0.11053606191538863,fleet_exit
4,1,14882,14521.111328125,0.3248721659183502,0.04918693723961833,fleet_exit
4,2,14880,23898.7578125,0.5346726775169373,0.047311827956989246,fleet_exit
4,3,14878,30411.7734375,0.6803845167160034,0.04819196128511897,fleet_exit
4,4,14885,36192.5390625,0.809714138507843,0.04857238831037958,fleet_exit
4,5,14882,41789.03125,0.934921145439148,0.057855126999059266,fleet_exit
4,6,14880,47749.23828125,1.0682653188705444,0.0530241935483871,fleet_exit
4,7,14883,54566.41796875,1.2207820415496826,0.06235302022441712,fleet_exit
4,8,14882,63329.296875,1.4168286323547363,0.06551538771670475,fleet_exit
4,9,14881,76725.4765625,1.7165334224700928,0.07822054969424098,fleet_exit
4,10,14882,110586.875,2.4740943908691406,0.1077140169332079,fleet_exit
5,1,28606,18801.966796875,0.3355255722999573,0.04030622946235055,fleet_exit
5,2,28623,30551.787109375,0.5452039241790771,0.039758236383328094,fleet_exit
5,3,28614,38667.70703125,0.6900344491004944,0.039596001957083946,fleet_exit
5,4,28612,45735.140625,0.8161544799804688,0.041136586047812104,fleet_exit
5,5,28615,52519.33203125,0.9372199773788452,0.04431242355408003,fleet_exit
5,6,28611,59688.9609375,1.0651637315750122,0.048687567718709586,fleet_exit
5,7,28620,67758.2109375,1.209161400794983,0.05139762403913347,fleet_exit
5,8,28613,77990.421875,1.391757607460022,0.05689721455282564,fleet_exit
5,9,28615,93897.171875,1.6756173372268677,0.06349816529792067,fleet_exit
